@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
86,'2018/11/21 07:43:19:449',1,69.838516,8.413558,796,987,?
87,'2018/11/21 07:43:19:466',1,69.84597,8.456771,796,987,?
88,'2018/11/21 07:43:19:482',1,69.865868,8.598466,796,987,?
89,'2018/11/21 07:43:19:499',1,69.870949,8.653272,796,987,?
90,'2018/11/21 07:43:19:516',1,69.877068,8.672188,796,987,?
91,'2018/11/21 07:43:19:532',1,69.866478,8.778279,796,987,?
92,'2018/11/21 07:43:19:549',1,69.860649,8.819118,796,987,?
93,'2018/11/21 07:43:19:565',1,69.854164,8.928568,796,987,?
94,'2018/11/21 07:43:19:582',1,69.85878,8.994046,796,987,?
95,'2018/11/21 07:43:19:600',1,69.875122,9.055324,796,987,?
96,'2018/11/21 07:43:19:616',1,69.901001,9.140483,796,987,?
97,'2018/11/21 07:43:19:632',1,69.926788,9.193361,796,987,?
98,'2018/11/21 07:43:19:650',1,69.95211,9.263553,796,987,?
99,'2018/11/21 07:43:19:666',1,69.992241,9.295673,796,987,?
100,'2018/11/21 07:43:19:704',1,70.026634,9.269971,796,987,?
101,'2018/11/21 07:43:19:705',1,70.085709,9.283163,796,987,?
102,'2018/11/21 07:43:19:714',1,70.03051,9.257602,796,987,?
103,'2018/11/21 07:43:19:734',1,69.977699,9.252375,796,987,?
104,'2018/11/21 07:43:19:750',1,69.947235,9.260469,113,847,?
105,'2018/11/21 07:43:19:766',1,69.800842,9.212733,127,847,?
106,'2018/11/21 07:43:19:782',1,69.733124,9.177114,143,846,?
107,'2018/11/21 07:43:19:800',1,69.662987,9.137377,158,845,?
108,'2018/11/21 07:43:19:816',1,69.647301,9.098001,178,844,?
109,'2018/11/21 07:43:19:833',1,69.638237,9.060338,193,844,?
110,'2018/11/21 07:43:19:850',1,69.658554,9.044932,209,843,?
111,'2018/11/21 07:43:19:865',1,69.681725,9.052337,226,842,?
112,'2018/11/21 07:43:19:885',1,69.696877,9.068271,243,841,?
113,'2018/11/21 07:43:19:899',1,69.700294,9.084328,259,839,?
114,'2018/11/21 07:43:19:915',1,69.700066,9.091388,273,836,?
115,'2018/11/21 07:43:19:932',1,69.696938,9.094606,284,833,?
116,'2018/11/21 07:43:19:949',1,69.696312,9.09002,292,831,?
117,'2018/11/21 07:43:19:966',1,69.695816,9.086399,296,830,?
118,'2018/11/21 07:43:19:982',1,69.705444,9.079596,298,828,?
119,'2018/11/21 07:43:19:999',1,69.704712,9.061896,298,827,?
120,'2018/11/21 07:43:20:016',1,69.707932,9.050996,298,826,?
121,'2018/11/21 07:43:20:031',1,69.679596,9.016864,298,826,?
122,'2018/11/21 07:43:20:048',1,69.67144,8.998831,284,824,?
123,'2018/11/21 07:43:20:065',1,69.653259,9.01482,273,823,?
124,'2018/11/21 07:43:20:083',1,69.64817,9.015704,261,823,?
125,'2018/11/21 07:43:20:098',1,69.653954,9.066867,249,823,?
126,'2018/11/21 07:43:20:115',1,69.655823,9.074132,234,823,?
127,'2018/11/21 07:43:20:133',1,69.67083,9.173404,217,823,?
128,'2018/11/21 07:43:20:151',1,69.675735,9.210109,203,822,?
129,'2018/11/21 07:43:20:166',1,69.674355,9.21896,203,822,?
130,'2018/11/21 07:43:20:182',1,69.679276,9.22592,174,821,?
131,'2018/11/21 07:43:20:198',1,69.685425,9.301887,174,821,?
132,'2018/11/21 07:43:20:214',1,69.684792,9.348989,147,821,?
133,'2018/11/21 07:43:20:231',1,69.686378,9.35893,137,821,?
134,'2018/11/21 07:43:20:247',1,69.668854,9.373125,127,821,?
135,'2018/11/21 07:43:20:264',1,69.602997,9.453431,119,821,?
136,'2018/11/21 07:43:20:282',1,69.565331,9.511066,113,821,?
137,'2018/11/21 07:43:20:297',1,69.558388,9.536204,109,821,?
138,'2018/11/21 07:43:20:315',1,69.580246,9.580083,108,821,?
139,'2018/11/21 07:43:20:332',1,69.615898,9.598893,108,821,?
140,'2018/11/21 07:43:20:348',1,69.67057,9.606236,108,821,?
141,'2018/11/21 07:43:20:364',1,69.701523,9.61537,119,821,?
142,'2018/11/21 07:43:20:381',1,69.69883,9.601858,136,822,?
143,'2018/11/21 07:43:20:399',1,69.663048,9.592679,160,826,?
144,'2018/11/21 07:43:20:415',1,69.608116,9.587377,160,826,?
145,'2018/11/21 07:43:20:432',1,69.535217,9.581448,160,826,?
146,'2018/11/21 07:43:20:452',1,69.435745,9.573154,160,826,?
147,'2018/11/21 07:43:20:467',1,69.395416,9.561244,249,831,?
148,'2018/11/21 07:43:20:483',1,69.380341,9.553291,279,830,?
149,'2018/11/21 07:43:20:500',1,69.394241,9.551451,303,826,?
150,'2018/11/21 07:43:20:516',1,69.410507,9.54614,322,825,?
151,'2018/11/21 07:43:20:534',1,69.529099,9.555493,339,824,?
152,'2018/11/21 07:43:20:550',1,69.601852,9.551255,354,824,?
153,'2018/11/21 07:43:20:566',1,69.668869,9.560686,362,824,?
154,'2018/11/21 07:43:20:582',1,69.71933,9.566236,366,824,?
155,'2018/11/21 07:43:20:600',1,69.770592,9.588758,366,824,?
156,'2018/11/21 07:43:20:616',1,69.771637,9.593603,366,824,?
157,'2018/11/21 07:43:20:632',1,69.769043,9.606179,359,825,?
158,'2018/11/21 07:43:20:649',1,69.667702,9.575528,342,825,?
159,'2018/11/21 07:43:20:668',1,69.58683,9.541309,342,825,?
160,'2018/11/21 07:43:20:684',1,69.568596,9.549442,296,824,?
161,'2018/11/21 07:43:20:700',1,69.472984,9.563017,271,825,?
162,'2018/11/21 07:43:20:718',1,69.445877,9.586413,271,825,?
163,'2018/11/21 07:43:20:731',1,69.416191,9.602156,218,822,?
164,'2018/11/21 07:43:20:748',1,69.425125,9.638321,193,822,?
165,'2018/11/21 07:43:20:766',1,69.482071,9.737521,168,822,?
166,'2018/11/21 07:43:20:782',1,69.492088,9.765924,147,822,?
167,'2018/11/21 07:43:20:801',1,69.58696,9.885918,127,819,?
