@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1618,'2018/11/20 12:50:51:694',17,1.41829,1.759705,168,351,0,?,?,?,?
1619,'2018/11/20 12:50:51:711',17,1.422593,1.752534,168,351,0,?,?,?,?
1620,'2018/11/20 12:50:51:728',17,1.426289,1.748378,168,351,0,?,?,?,?
1621,'2018/11/20 12:50:51:746',17,1.418802,1.738747,168,351,0,?,?,?,?
1622,'2018/11/20 12:50:51:761',17,1.401799,1.726585,168,351,0,?,?,?,?
1623,'2018/11/20 12:50:51:778',17,1.39798,1.723479,168,351,0,?,?,?,?
1624,'2018/11/20 12:50:51:806',17,1.394988,1.719934,168,351,0,?,?,?,?
1625,'2018/11/20 12:50:51:811',17,1.397459,1.721484,168,351,0,?,?,?,?
1626,'2018/11/20 12:50:51:829',17,1.414692,1.737094,168,351,0,?,?,?,?
1627,'2018/11/20 12:50:51:844',17,1.41882,1.741508,168,351,0,?,?,?,?
1628,'2018/11/20 12:50:51:861',17,1.430556,1.754934,168,351,0,?,?,?,?
1629,'2018/11/20 12:50:51:878',17,1.432123,1.762729,168,351,0,?,?,?,?
1630,'2018/11/20 12:50:51:895',17,1.433327,1.766015,168,351,0,?,?,?,?
1631,'2018/11/20 12:50:51:913',17,1.428413,1.759808,168,351,0,?,?,?,?
1632,'2018/11/20 12:50:51:928',17,1.42122,1.752278,168,351,0,?,?,?,?
1633,'2018/11/20 12:50:51:945',17,1.41692,1.743494,168,351,0,?,?,?,?
1634,'2018/11/20 12:50:51:961',17,1.412131,1.738678,168,351,0,?,?,?,?
1635,'2018/11/20 12:50:51:978',17,1.414404,1.733127,168,351,0,?,?,?,?
1636,'2018/11/20 12:50:51:995',17,1.417712,1.734339,168,351,0,?,?,?,?
1637,'2018/11/20 12:50:52:011',17,1.422839,1.736984,168,351,0,?,?,?,?
1638,'2018/11/20 12:50:52:028',17,1.420633,1.738325,168,351,0,?,?,?,?
1639,'2018/11/20 12:50:52:044',17,1.419705,1.742193,168,351,0,?,?,?,?
1640,'2018/11/20 12:50:52:063',17,1.42297,1.751563,168,351,0,?,?,?,?
1641,'2018/11/20 12:50:52:078',17,1.423173,1.754887,168,351,0,?,?,?,?
1642,'2018/11/20 12:50:52:094',17,1.42374,1.756605,168,351,0,?,?,?,?
1643,'2018/11/20 12:50:52:111',17,1.42503,1.757087,168,351,0,?,?,?,?
1644,'2018/11/20 12:50:52:128',17,1.423463,1.759297,168,351,0,?,?,?,?
1645,'2018/11/20 12:50:52:145',17,1.419863,1.760649,168,351,0,?,?,?,?
1646,'2018/11/20 12:50:52:161',17,1.416977,1.75987,168,351,0,?,?,?,?
1647,'2018/11/20 12:50:52:178',17,1.412465,1.75244,168,351,0,?,?,?,?
1648,'2018/11/20 12:50:55:879',18,51.890163,-0.360611,168,351,1,?,?,?,?
1649,'2018/11/20 12:50:55:894',18,51.897316,-0.395481,168,351,1,?,?,?,?
1650,'2018/11/20 12:50:55:912',18,51.888252,-0.44199,168,351,1,?,?,?,?
1651,'2018/11/20 12:50:55:929',18,51.856949,-0.503404,168,351,1,?,?,?,?
1652,'2018/11/20 12:50:55:949',18,51.822632,-0.541478,168,351,1,?,?,?,?
1653,'2018/11/20 12:50:55:965',18,51.791222,-0.56213,168,351,1,?,?,?,?
1654,'2018/11/20 12:50:55:978',18,51.73428,-0.593858,168,351,1,?,?,?,?
1655,'2018/11/20 12:50:55:995',18,51.743507,-0.607293,168,351,1,?,?,?,?
1656,'2018/11/20 12:50:56:012',18,51.758873,-0.597688,168,351,1,?,?,?,?
1657,'2018/11/20 12:50:56:028',18,51.840981,-0.556433,168,351,1,?,?,?,?
1658,'2018/11/20 12:50:56:049',18,51.861099,-0.555739,168,351,1,?,?,?,?
1659,'2018/11/20 12:50:56:062',18,51.873112,-0.554274,168,351,1,?,?,?,?
1660,'2018/11/20 12:50:56:078',18,51.869316,-0.55959,168,351,1,?,?,?,?
1661,'2018/11/20 12:50:56:095',18,51.842457,-0.566967,168,351,1,?,?,?,?
1662,'2018/11/20 12:50:56:112',18,51.809742,-0.5508,168,351,1,?,?,?,?
1663,'2018/11/20 12:50:56:128',18,51.76783,-0.562753,168,351,1,?,?,?,?
1664,'2018/11/20 12:50:56:145',18,51.729942,-0.584916,168,351,1,?,?,?,?
1665,'2018/11/20 12:50:56:162',18,51.696552,-0.642718,168,351,1,?,?,?,?
1666,'2018/11/20 12:50:56:179',18,51.703888,-0.688697,168,351,1,?,?,?,?
1667,'2018/11/20 12:50:56:196',18,51.718502,-0.692048,168,351,1,?,?,?,?
1668,'2018/11/20 12:50:56:212',18,51.73016,-0.65693,168,351,1,?,?,?,?
1669,'2018/11/20 12:50:56:229',18,51.738876,-0.606567,168,351,1,?,?,?,?
1670,'2018/11/20 12:50:56:246',18,51.735817,-0.57887,168,351,1,?,?,?,?
1671,'2018/11/20 12:50:56:264',18,51.731716,-0.587438,168,351,1,?,?,?,?
1672,'2018/11/20 12:50:56:275',18,51.745636,-0.605183,168,351,1,?,?,?,?
1673,'2018/11/20 12:50:56:295',18,51.732803,-0.613522,168,351,1,?,?,?,?
1674,'2018/11/20 12:50:56:311',18,51.725544,-0.622054,168,351,1,?,?,?,?
1675,'2018/11/20 12:50:56:330',18,51.72229,-0.632336,168,351,1,?,?,?,?
1676,'2018/11/20 12:50:56:345',18,51.704052,-0.656162,168,351,1,?,?,?,?
1677,'2018/11/20 12:50:56:362',18,51.679905,-0.687518,168,351,1,?,?,?,?
1678,'2018/11/20 12:50:56:380',18,51.658989,-0.706641,168,351,1,?,?,?,?
1679,'2018/11/20 12:50:56:397',18,51.64101,-0.710874,168,351,1,?,?,?,?
1680,'2018/11/20 12:50:56:411',18,51.633518,-0.717647,168,351,1,?,?,?,?
1681,'2018/11/20 12:50:56:429',18,51.648838,-0.728856,168,351,1,?,?,?,?
1682,'2018/11/20 12:50:56:444',18,51.65509,-0.762304,168,351,1,?,?,?,?
1683,'2018/11/20 12:50:56:462',18,51.642582,-0.769715,168,351,1,?,?,?,?
1684,'2018/11/20 12:50:56:481',18,51.636066,-0.771883,168,351,1,?,?,?,?
1685,'2018/11/20 12:50:56:495',18,51.63559,-0.762525,168,351,1,?,?,?,?
1686,'2018/11/20 12:50:56:512',18,51.638927,-0.754709,168,351,1,?,?,?,?
1687,'2018/11/20 12:50:56:529',18,51.65033,-0.719246,168,351,1,?,?,?,?
1688,'2018/11/20 12:50:56:546',18,51.655998,-0.70093,168,351,1,?,?,?,?
1689,'2018/11/20 12:50:56:563',18,51.64793,-0.677136,168,351,1,?,?,?,?
1690,'2018/11/20 12:50:56:579',18,51.642963,-0.677338,168,351,1,?,?,?,?
1691,'2018/11/20 12:50:56:594',18,51.640114,-0.694419,168,351,1,?,?,?,?
1692,'2018/11/20 12:50:56:612',18,51.640224,-0.722321,168,351,1,?,?,?,?
1693,'2018/11/20 12:50:56:626',18,51.633564,-0.734719,168,351,1,?,?,?,?
1694,'2018/11/20 12:50:56:643',18,51.664913,-0.792672,168,351,1,?,?,?,?
1695,'2018/11/20 12:50:56:662',18,51.666927,-0.807288,168,351,1,?,?,?,?
1696,'2018/11/20 12:50:56:677',18,51.728931,-0.842704,168,351,1,?,?,?,?
1697,'2018/11/20 12:50:56:696',18,51.746136,-0.858502,168,351,1,?,?,?,?
1698,'2018/11/20 12:50:56:712',18,51.77441,-0.86768,168,351,1,?,?,?,?
1699,'2018/11/20 12:50:56:739',18,51.775928,-0.877048,168,351,1,?,?,?,?
1700,'2018/11/20 12:50:56:744',18,51.748131,-0.839247,168,351,1,?,?,?,?
1701,'2018/11/20 12:50:56:762',18,51.724663,-0.809454,168,351,1,?,?,?,?
1702,'2018/11/20 12:50:56:780',18,51.72459,-0.788061,168,351,1,?,?,?,?
1703,'2018/11/20 12:50:56:792',18,51.7173,-0.76804,168,351,1,?,?,?,?
1704,'2018/11/20 12:50:56:812',18,51.714264,-0.798213,168,351,1,?,?,?,?
1705,'2018/11/20 12:51:14:326',19,4.806139,-51.351822,168,351,?,0,?,?,?
1706,'2018/11/20 12:51:14:353',19,4.837541,-51.376915,168,351,?,0,?,?,?
1707,'2018/11/20 12:51:14:385',19,4.856543,-51.391998,168,351,?,0,?,?,?
1708,'2018/11/20 12:51:14:385',19,4.868804,-51.451649,168,351,?,0,?,?,?
1709,'2018/11/20 12:51:14:402',19,4.846725,-51.555603,168,351,?,0,?,?,?
1710,'2018/11/20 12:51:14:409',19,4.844163,-51.578358,168,351,?,0,?,?,?
1711,'2018/11/20 12:51:14:440',19,4.854147,-51.608707,168,351,?,0,?,?,?
1712,'2018/11/20 12:51:14:498',19,4.902415,-51.629902,168,351,?,0,?,?,?
1713,'2018/11/20 12:51:14:499',19,4.905863,-51.643333,168,351,?,0,?,?,?
1714,'2018/11/20 12:51:14:499',19,4.935476,-51.653667,168,351,?,0,?,?,?
1715,'2018/11/20 12:51:14:499',19,4.997942,-51.721386,168,351,?,0,?,?,?
1716,'2018/11/20 12:51:14:550',19,5.011419,-51.75996,168,351,?,0,?,?,?
1717,'2018/11/20 12:51:14:550',19,5.017295,-51.813301,168,351,?,0,?,?,?
1718,'2018/11/20 12:51:14:550',19,4.994221,-51.775578,168,351,?,0,?,?,?
1719,'2018/11/20 12:51:14:576',19,4.984693,-51.767948,168,351,?,0,?,?,?
1720,'2018/11/20 12:51:14:576',19,4.959083,-51.633366,168,351,?,0,?,?,?
1721,'2018/11/20 12:51:15:679',19,4.936241,-51.545208,168,351,?,0,?,?,?
1722,'2018/11/20 12:51:15:679',19,4.931201,-51.424911,168,351,?,0,?,?,?
1723,'2018/11/20 12:51:15:679',19,4.916735,-51.301086,168,351,?,0,?,?,?
1724,'2018/11/20 12:51:15:679',19,4.937516,-51.197872,168,351,?,0,?,?,?
1725,'2018/11/20 12:51:15:679',19,4.958632,-51.079994,168,351,?,0,?,?,?
1726,'2018/11/20 12:51:15:679',19,4.993018,-50.985725,168,351,?,0,?,?,?
1727,'2018/11/20 12:51:15:679',19,5.094034,-50.791008,168,351,?,0,?,?,?
1728,'2018/11/20 12:51:15:679',19,5.117938,-50.746082,168,351,?,0,?,?,?
1729,'2018/11/20 12:51:15:679',19,5.179375,-50.627838,168,351,?,0,?,?,?
1730,'2018/11/20 12:51:15:679',19,5.192019,-50.575802,168,351,?,0,?,?,?
1731,'2018/11/20 12:51:15:679',19,5.190397,-50.556438,168,351,?,0,?,?,?
1732,'2018/11/20 12:51:15:680',19,5.187385,-50.571346,168,351,?,0,?,?,?
1733,'2018/11/20 12:51:15:680',19,5.194494,-50.567848,168,351,?,0,?,?,?
1734,'2018/11/20 12:51:15:680',19,5.19273,-50.623672,168,351,?,0,?,?,?
1735,'2018/11/20 12:51:15:680',19,5.197117,-50.646702,168,351,?,0,?,?,?
1736,'2018/11/20 12:51:15:680',19,5.142274,-50.746956,168,351,?,0,?,?,?
1737,'2018/11/20 12:51:15:680',19,5.097946,-50.761932,168,351,?,0,?,?,?
1738,'2018/11/20 12:51:15:680',19,5.021657,-50.770847,168,351,?,0,?,?,?
1739,'2018/11/20 12:51:15:680',19,4.961072,-50.760239,168,351,?,0,?,?,?
1740,'2018/11/20 12:51:15:680',19,4.944332,-50.751877,168,351,?,0,?,?,?
1741,'2018/11/20 12:51:15:680',19,4.900885,-50.699604,168,351,?,0,?,?,?
1742,'2018/11/20 12:51:15:787',19,4.888331,-50.693863,168,351,?,0,?,?,?
1743,'2018/11/20 12:51:15:787',19,4.893201,-50.690742,168,351,?,0,?,?,?
1744,'2018/11/20 12:51:15:787',19,4.903315,-50.686264,168,351,?,0,?,?,?
1745,'2018/11/20 12:51:15:787',19,4.977627,-50.656826,168,351,?,0,?,?,?
1746,'2018/11/20 12:51:15:787',19,5.032886,-50.631985,168,351,?,0,?,?,?
1747,'2018/11/20 12:51:15:787',19,5.045498,-50.631462,168,351,?,0,?,?,?
1748,'2018/11/20 12:51:15:787',19,5.069461,-50.645546,168,351,?,0,?,?,?
1749,'2018/11/20 12:51:15:787',19,5.134832,-50.680176,168,351,?,0,?,?,?
1750,'2018/11/20 12:51:15:787',19,5.153481,-50.695293,168,351,?,0,?,?,?
1751,'2018/11/20 12:51:15:787',19,5.153457,-50.72464,168,351,?,0,?,?,?
1752,'2018/11/20 12:51:15:788',19,5.148086,-50.754513,168,351,?,0,?,?,?
1753,'2018/11/20 12:51:15:788',19,5.149311,-50.769222,168,351,?,0,?,?,?
1754,'2018/11/20 12:51:15:788',19,5.151031,-50.774925,168,351,?,0,?,?,?
1755,'2018/11/20 12:51:15:788',19,5.153355,-50.801697,168,351,?,0,?,?,?
1756,'2018/11/20 12:51:15:788',19,5.15752,-50.828495,168,351,?,0,?,?,?
1757,'2018/11/20 12:51:15:788',19,5.155952,-50.835644,168,351,?,0,?,?,?
1758,'2018/11/20 12:51:15:788',19,5.187793,-50.810291,168,351,?,0,?,?,?
1759,'2018/11/20 12:51:15:788',19,5.218331,-50.777191,168,351,?,0,?,?,?
1760,'2018/11/20 12:51:15:788',19,5.241026,-50.75288,168,351,?,0,?,?,?
1761,'2018/11/20 12:51:15:788',19,5.257006,-50.743408,168,351,?,0,?,?,?
1762,'2018/11/20 12:51:15:788',19,5.259435,-50.74509,168,351,?,0,?,?,?
1763,'2018/11/20 12:51:15:792',19,5.254041,-50.748611,168,351,?,0,?,?,?
1764,'2018/11/20 12:51:15:793',19,5.247189,-50.736496,168,351,?,0,?,?,?
1765,'2018/11/20 12:51:15:793',19,5.270833,-50.719055,168,351,?,0,?,?,?
1766,'2018/11/20 12:51:15:793',19,5.275464,-50.722248,168,351,?,0,?,?,?
1767,'2018/11/20 12:51:15:793',19,5.280865,-50.739094,168,351,?,0,?,?,?
1768,'2018/11/20 12:51:15:793',19,5.282676,-50.742279,168,351,?,0,?,?,?
1769,'2018/11/20 12:51:15:793',19,5.297033,-50.727703,168,351,?,0,?,?,?
1770,'2018/11/20 12:51:15:793',19,5.316875,-50.701862,168,351,?,0,?,?,?
1771,'2018/11/20 12:51:15:793',19,5.330658,-50.684631,168,351,?,0,?,?,?
1772,'2018/11/20 12:51:15:793',19,5.335085,-50.681839,168,351,?,0,?,?,?
1773,'2018/11/20 12:51:15:793',19,5.32156,-50.68969,168,351,?,0,?,?,?
1774,'2018/11/20 12:51:15:793',19,5.327678,-50.700012,168,351,?,0,?,?,?
1775,'2018/11/20 12:51:15:793',19,5.337005,-50.704132,168,351,?,0,?,?,?
1776,'2018/11/20 12:51:15:793',19,5.374286,-50.718735,168,351,?,0,?,?,?
1777,'2018/11/20 12:51:15:793',19,5.387121,-50.739693,168,351,?,0,?,?,?
1778,'2018/11/20 12:51:15:793',19,5.395202,-50.751114,168,351,?,0,?,?,?
1779,'2018/11/20 12:51:15:793',19,5.407869,-50.739037,168,351,?,0,?,?,?
1780,'2018/11/20 12:51:15:793',19,5.421289,-50.713203,168,351,?,0,?,?,?
1781,'2018/11/20 12:51:15:793',19,5.410624,-50.68874,168,351,?,0,?,?,?
1782,'2018/11/20 12:51:15:793',19,5.427219,-50.685867,168,351,?,0,?,?,?
1783,'2018/11/20 12:51:15:793',19,5.511323,-50.651566,168,351,?,0,?,?,?
1784,'2018/11/20 12:51:15:795',19,5.584071,-50.621967,168,351,?,0,?,?,?
1785,'2018/11/20 12:51:15:795',19,5.660859,-50.583107,168,351,?,0,?,?,?
1786,'2018/11/20 12:51:15:795',19,5.74066,-50.552326,168,351,?,0,?,?,?
1787,'2018/11/20 12:51:15:795',19,5.822231,-50.544456,168,351,?,0,?,?,?
1788,'2018/11/20 12:51:15:795',19,5.892675,-50.544918,168,351,?,0,?,?,?
1789,'2018/11/20 12:51:15:795',19,5.966697,-50.548328,168,351,?,0,?,?,?
1790,'2018/11/20 12:51:15:795',19,6.041691,-50.550545,168,351,?,0,?,?,?
1791,'2018/11/20 12:51:15:795',19,6.055484,-50.546207,168,351,?,0,?,?,?
1792,'2018/11/20 12:51:15:795',19,6.096703,-50.558617,168,351,?,0,?,?,?
1793,'2018/11/20 12:51:15:795',19,6.097964,-50.562893,168,351,?,0,?,?,?
1794,'2018/11/20 12:51:15:809',19,6.100065,-50.557571,168,351,?,0,?,?,?
1795,'2018/11/20 12:51:15:826',19,6.144104,-50.553726,168,351,?,0,?,?,?
1796,'2018/11/20 12:51:15:842',19,6.176732,-50.554844,168,351,?,0,?,?,?
1797,'2018/11/20 12:51:15:858',19,6.201548,-50.561008,168,351,?,0,?,?,?
1798,'2018/11/20 12:51:15:875',19,6.218667,-50.571918,168,351,?,0,?,?,?
1799,'2018/11/20 12:51:15:901',19,6.245623,-50.602352,168,351,?,0,?,?,?
1800,'2018/11/20 12:51:15:910',19,6.262413,-50.616985,168,351,?,0,?,?,?
1801,'2018/11/20 12:51:15:929',19,6.307178,-50.631771,168,351,?,0,?,?,?
1802,'2018/11/20 12:51:15:943',19,6.325444,-50.638454,168,351,?,0,?,?,?
1803,'2018/11/20 12:51:15:959',19,6.329021,-50.638924,168,351,?,0,?,?,?
1804,'2018/11/20 12:51:15:976',19,6.287815,-50.634319,168,351,?,0,?,?,?
1805,'2018/11/20 12:51:15:992',19,6.273639,-50.636173,168,351,?,0,?,?,?
1806,'2018/11/20 12:51:16:009',19,6.242802,-50.644798,168,351,?,0,?,?,?
1807,'2018/11/20 12:51:16:025',19,6.235138,-50.644775,168,351,?,0,?,?,?
1808,'2018/11/20 12:51:21:042',20,-5.89355,62.1474,168,351,?,1,?,?,?
1809,'2018/11/20 12:51:21:059',20,-5.896242,62.144127,168,351,?,1,?,?,?
1810,'2018/11/20 12:51:21:075',20,-5.911474,62.162685,168,351,?,1,?,?,?
1811,'2018/11/20 12:51:21:092',20,-5.91334,62.17083,168,351,?,1,?,?,?
1812,'2018/11/20 12:51:21:108',20,-5.904569,62.208454,168,351,?,1,?,?,?
1813,'2018/11/20 12:51:21:125',20,-5.90738,62.22369,168,351,?,1,?,?,?
1814,'2018/11/20 12:51:21:143',20,-5.93999,62.215961,168,351,?,1,?,?,?
1815,'2018/11/20 12:51:21:160',20,-5.985754,62.184902,168,351,?,1,?,?,?
1816,'2018/11/20 12:51:21:175',20,-6.036201,62.155914,168,351,?,1,?,?,?
1817,'2018/11/20 12:51:21:192',20,-6.029081,62.183926,168,351,?,1,?,?,?
1818,'2018/11/20 12:51:21:208',20,-6.02076,62.198498,168,351,?,1,?,?,?
1819,'2018/11/20 12:51:21:226',20,-5.984204,62.242809,168,351,?,1,?,?,?
1820,'2018/11/20 12:51:21:243',20,-5.973187,62.268112,168,351,?,1,?,?,?
1821,'2018/11/20 12:51:21:259',20,-5.964462,62.339214,168,351,?,1,?,?,?
1822,'2018/11/20 12:51:21:276',20,-5.974445,62.397465,168,351,?,1,?,?,?
1823,'2018/11/20 12:51:21:293',20,-6.011425,62.471256,168,351,?,1,?,?,?
1824,'2018/11/20 12:51:21:309',20,-6.016607,62.443573,168,351,?,1,?,?,?
1825,'2018/11/20 12:51:21:326',20,-6.007521,62.423634,168,351,?,1,?,?,?
1826,'2018/11/20 12:51:21:342',20,-5.979191,62.473267,168,351,?,1,?,?,?
1827,'2018/11/20 12:51:21:358',20,-5.982052,62.488358,168,351,?,1,?,?,?
1828,'2018/11/20 12:51:21:375',20,-6.017575,62.488968,168,351,?,1,?,?,?
1829,'2018/11/20 12:51:21:392',20,-6.044075,62.478016,168,351,?,1,?,?,?
1830,'2018/11/20 12:51:21:409',20,-6.054566,62.466911,168,351,?,1,?,?,?
1831,'2018/11/20 12:51:21:426',20,-6.04855,62.475716,168,351,?,1,?,?,?
1832,'2018/11/20 12:51:21:442',20,-6.047774,62.481888,168,351,?,1,?,?,?
1833,'2018/11/20 12:51:21:459',20,-6.046543,62.489704,168,351,?,1,?,?,?
1834,'2018/11/20 12:51:21:475',20,-6.065303,62.531124,168,351,?,1,?,?,?
1835,'2018/11/20 12:51:21:492',20,-6.091943,62.517979,168,351,?,1,?,?,?
1836,'2018/11/20 12:51:21:509',20,-6.122348,62.504574,168,351,?,1,?,?,?
1837,'2018/11/20 12:51:21:526',20,-6.143483,62.498653,168,351,?,1,?,?,?
1838,'2018/11/20 12:51:21:543',20,-6.12111,62.514999,168,351,?,1,?,?,?
1839,'2018/11/20 12:51:21:559',20,-6.117424,62.514111,168,351,?,1,?,?,?
1840,'2018/11/20 12:51:21:575',20,-6.106934,62.535156,168,351,?,1,?,?,?
1841,'2018/11/20 12:51:21:592',20,-6.104282,62.563553,168,351,?,1,?,?,?
1842,'2018/11/20 12:51:21:609',20,-6.09941,62.582127,168,351,?,1,?,?,?
1843,'2018/11/20 12:51:21:625',20,-6.088725,62.594101,168,351,?,1,?,?,?
1844,'2018/11/20 12:51:21:643',20,-6.08159,62.620243,168,351,?,1,?,?,?
1845,'2018/11/20 12:51:21:659',20,-6.089033,62.622211,168,351,?,1,?,?,?
1846,'2018/11/20 12:51:21:676',20,-6.147382,62.535324,168,351,?,1,?,?,?
1847,'2018/11/20 12:51:21:693',20,-6.157334,62.520966,168,351,?,1,?,?,?
1848,'2018/11/20 12:51:21:709',20,-6.155608,62.528717,168,351,?,1,?,?,?
1849,'2018/11/20 12:51:21:726',20,-6.112664,62.604149,168,351,?,1,?,?,?
